airline,average_booking_amount,gross_bookings,user_cancellations,commission_per_booking,fees_per_cancellation,cancellation_percentage,profit
Fougerus Airlines,$985,1247499,860774,0.31%,0.47%,69.00%,"-$96,181"
Four Herb Gouda Airlines,"$1,502",153689,99898,0.32%,0.39%,65.00%,"$151,767"
Fourme D' Ambert Airlines,$660,974530,526246,0.53%,0.82%,54.00%,"$528,586"
Fourme De Haute Loire Airlines,$505,417383,62607,0.57%,0.83%,15.00%,"$934,314"
Fourme De Montbrison Airlines,$207,939811,554488,2.31%,3.00%,59.00%,"$1,043,381"
Fox Airlines,$282,228647,171485,0.96%,1.98%,75.00%,"-$337,825"
Fox Terrier Airlines,$824,1937554,193755,0.48%,0.82%,10.00%,"$6,349,367"
Franz Airlines,"$1,050",190946,22914,0.29%,0.48%,12.00%,"$456,206"
French Bulldog Airlines,$768,1152146,161300,0.61%,0.98%,14.00%,"$4,195,428"
Fresh Jack Airlines,"$1,067",1622179,1313965,0.21%,0.37%,81.00%,"-$1,534,095"
Fresh Mozzarella Airlines,$607,1172781,293195,0.81%,1.12%,25.00%,"$3,761,697"
Fresh Ricotta Airlines,"$1,970",1706315,68253,0.20%,0.29%,4.00%,"$6,185,731"
Fresh Truffles Airlines,"$1,088",1994274,1196564,0.23%,0.32%,60.00%,"$757,826"
Fribourgeois Airlines,$329,778810,249219,0.52%,1.33%,32.00%,"$237,382"
Friesekaas Airlines,$607,1408894,859425,0.68%,1.04%,61.00%,"$373,077"
Friesian Airlines,$304,1689804,878698,1.61%,2.66%,52.00%,"$1,154,475"
Friesla Airlines,"$1,456",101925,61155,0.38%,0.49%,60.00%,"$125,775"
Frigatebird Airlines,"$1,128",1917381,172564,0.14%,0.32%,9.00%,"$2,441,402"
Frilled Lizard Airlines,"$1,161",666011,313025,0.47%,0.67%,47.00%,"$1,174,845"
Frilled Shark Airlines,"$1,312",226262,49778,0.25%,0.38%,22.00%,"$495,014"
Frinault Airlines,"$1,484",360426,68481,0.17%,0.36%,19.00%,"$532,457"
Frog Airlines,$811,676284,60866,0.30%,0.47%,9.00%,"$1,438,522"
Fromage A Raclette Airlines,"$1,325",1119892,873516,0.22%,0.46%,78.00%,"-$2,109,430"
Fromage Corse Airlines,$398,484578,339205,0.74%,1.13%,70.00%,"-$96,917"
Fromage De Montagne De Savoie Airlines,$954,1001924,460885,0.16%,0.48%,46.00%,"-$559,474"
Fromage Frais Airlines,"$1,552",945525,491673,0.16%,0.33%,52.00%,"-$120,271"
Fruit Cream Cheese Airlines,"$1,671",968245,87142,0.19%,0.31%,9.00%,"$2,640,889"
Frying Cheese Airlines,"$1,081",1747872,419489,0.16%,0.32%,24.00%,"$1,510,862"
Fulu Airlines,"$1,318",158868,47660,0.15%,0.29%,30.00%,"$133,768"
Fumalsamakah Airlines,"$1,876",1632133,244820,0.16%,0.31%,15.00%,"$3,519,695"
Fumewort Airlines,$726,583032,11661,0.54%,0.92%,2.00%,"$2,207,357"
Funi Airlines,"$1,442",340523,34052,0.13%,0.20%,10.00%,"$520,320"
Fur Seal Airlines,$771,1312481,524992,0.50%,0.75%,40.00%,"$2,013,348"
Furud Airlines,$676,889733,747376,0.25%,0.64%,84.00%,"-$1,744,234"
Fuyue Airlines,"$1,064",1651286,792617,0.41%,0.67%,48.00%,"$1,441,905"
Fynbo Airlines,$449,1728255,639454,1.14%,1.49%,37.00%,"$4,575,212"
Gabriel Airlines,$717,1918759,1439069,0.40%,0.84%,75.00%,"-$3,093,997"
Gacrux Airlines,"$1,569",1648839,1236629,0.24%,0.31%,75.00%,"$193,740"
Gakyid Airlines,$261,94476,68967,1.48%,2.28%,73.00%,"-$44,987"
Galapagos Penguin Airlines,"$1,215",609812,439065,0.20%,0.29%,72.00%,"-$113,426"
Galapagos Tortoise Airlines,"$1,066",1346399,902087,0.29%,0.49%,67.00%,"-$539,635"
Galette Du Paludier Airlines,"$1,847",776039,349218,0.24%,0.33%,45.00%,"$1,321,592"
Galette Lyonnaise Airlines,"$1,424",334724,153973,0.20%,0.38%,46.00%,"$105,505"
Gallberry Airlines,$638,751930,360926,0.31%,0.79%,48.00%,"-$356,413"
Galloway Goat'S Milk Gems Airlines,"$1,155",785934,385108,0.27%,0.50%,49.00%,"$210,314"
Gammelost Airlines,"$1,420",379048,121295,0.27%,0.38%,32.00%,"$776,444"
Gaperon A L'Ail Airlines,"$1,952",1623696,730663,0.09%,0.20%,45.00%,"$134,768"
Gapperi Airlines,"$1,882",1485208,1024794,0.10%,0.27%,69.00%,"-$2,338,462"
Gar Airlines,$943,689789,393180,0.48%,0.70%,57.00%,"$526,790"
Garden Nightshade Airlines,$207,341521,47813,1.34%,2.53%,14.00%,"$699,366"
Garget Airlines,"$1,858",1276750,12768,0.21%,0.27%,1.00%,"$4,865,309"
Garlic Airlines,$429,1871159,168404,0.90%,1.32%,9.00%,"$6,289,903"
Garlic Mustard Airlines,$613,1449673,840810,0.26%,0.65%,58.00%,"-$1,018,539"
Garlic Root Airlines,$639,1266757,76005,0.79%,0.97%,6.00%,"$5,928,172"
Garrotxa Airlines,$667,1826487,1223746,0.45%,0.74%,67.00%,"-$572,054"
Gastanberra Airlines,"$1,488",1741081,800897,0.33%,0.47%,46.00%,"$2,872,785"
Gecko Airlines,$438,1848875,221865,0.56%,0.96%,12.00%,"$3,577,203"
Geitost Airlines,$339,1199226,539652,1.01%,1.92%,45.00%,"$593,615"
Geminga Airlines,$948,1759527,140762,0.57%,0.90%,8.00%,"$8,265,555"
Gentoo Penguin Airlines,"$1,367",731348,65821,0.25%,0.37%,9.00%,"$2,131,589"
Geoffroys Tamarin Airlines,"$1,713",540297,378208,0.10%,0.19%,70.00%,"-$287,979"
Gerbil Airlines,$577,924128,489788,0.51%,0.71%,53.00%,"$727,843"
German Pinscher Airlines,"$1,569",48738,5849,0.11%,0.23%,12.00%,"$63,202"
German Shepherd Guide Airlines,$919,730989,277776,0.45%,0.63%,38.00%,"$1,370,311"
Gewa Bangladesh Airlines,$693,1305302,65265,0.34%,0.55%,5.00%,"$2,870,359"
Gharial Airlines,$499,1576839,961872,0.90%,1.11%,61.00%,"$1,776,623"
Giant African Land Snail Airlines,"$1,033",1911932,267670,0.33%,0.58%,14.00%,"$4,905,256"
Giant Clam Airlines,"$1,181",1180116,613660,0.44%,0.60%,52.00%,"$1,707,866"
Giant Onion Airlines,$317,137942,4138,0.99%,2.00%,3.00%,"$408,282"
Giant Panda Bear Airlines,"$1,072",1186109,557471,0.27%,0.54%,47.00%,"$239,833"
Giant Ragweed Airlines,$596,173706,53849,0.80%,0.98%,31.00%,"$514,760"
Giant Schnauzer Airlines,"$1,600",1644262,1364737,0.27%,0.39%,83.00%,"-$1,314,091"
Giausar Airlines,$213,608885,481019,1.46%,2.32%,79.00%,"-$481,323"
Gibbon Airlines,"$1,830",1232736,1010844,0.20%,0.35%,82.00%,"-$2,094,422"
Gienah Airlines,$264,14317,3436,1.18%,1.67%,24.00%,"$29,516"
Gila Monster Airlines,$998,76976,2309,0.27%,0.38%,3.00%,"$195,328"
Gilli Flower Airlines,"$1,132",583166,128297,0.17%,0.41%,22.00%,"$534,761"
Ginan Airlines,"$1,655",1166702,851692,0.33%,0.52%,73.00%,"-$988,426"
Gippsland Blue Airlines,$907,296026,112490,0.43%,0.73%,38.00%,"$410,232"
Giraffe Airlines,"$1,145",1645290,0,0.23%,0.36%,0.00%,"$4,376,471"
Gjetost Airlines,$911,549872,186956,0.54%,0.85%,34.00%,"$1,230,727"
Glass Lizard Airlines,$647,1845161,0,0.34%,0.84%,0.00%,"$4,114,709"
Gloas Airlines,$339,1687279,67491,1.56%,2.08%,4.00%,"$8,466,767"
Gloriosa Daisy Airlines,$351,707383,594202,1.30%,1.65%,84.00%,"-$208,821"
Gloucester Airlines,"$1,392",1060412,307519,0.21%,0.35%,29.00%,"$1,529,010"
Glow Worm Airlines,"$1,100",230239,62165,0.40%,0.55%,27.00%,"$635,457"
Goat Airlines,$434,244188,153838,1.01%,1.44%,63.00%,"$107,421"
Goblin Shark Airlines,$264,350432,206755,1.09%,1.48%,59.00%,"$198,765"
Golden Buttons Airlines,"$1,903",1972617,729868,0.25%,0.34%,37.00%,"$4,766,042"
Golden Corydalis Airlines,$719,1522932,1066052,0.34%,0.56%,70.00%,"-$621,355"
Golden Cross Airlines,"$1,681",1794525,197398,0.11%,0.20%,11.00%,"$2,640,822"
Golden Garlic Airlines,"$1,806",1735619,295055,0.16%,0.32%,17.00%,"$3,206,731"
Golden Jerusalem Airlines,$268,1410633,423190,1.85%,2.54%,30.00%,"$4,119,048"
Golden Lion Tamarin Airlines,"$1,822",936001,645841,0.15%,0.28%,69.00%,"-$711,082"
Golden Masked Owl Airlines,$398,1724576,327669,1.11%,1.62%,19.00%,"$5,481,223"
Golden Oriole Airlines,"$1,549",450810,338108,0.24%,0.35%,75.00%,"-$131,865"
Golden Retriever Complete Pet Guide Airlines,"$1,370",155405,87027,0.18%,0.37%,56.00%,"-$59,117"
Golden-Crowned Flying Fox Airlines,"$1,094",400007,316006,0.46%,0.74%,79.00%,"-$530,773"
Goldenglow Airlines,$797,741521,74152,0.23%,0.53%,10.00%,"$1,038,871"
Gomeisa Airlines,"$1,060",1411535,423461,0.18%,0.44%,30.00%,"$660,596"
Goodding Willow Airlines,"$1,349",1423179,341563,0.40%,0.54%,24.00%,"$5,113,197"
Goose Airlines,$347,1347817,795212,0.88%,1.18%,59.00%,"$871,903"
Goose Tongue Airlines,$559,873850,174770,0.29%,0.63%,20.00%,"$800,447"
Gopher Airlines,"$1,826",1415892,14159,0.27%,0.43%,1.00%,"$6,911,393"
Gordaldo Airlines,"$1,024",354785,138366,0.48%,0.69%,39.00%,"$779,322"
Gorgonzola Airlines,"$1,683",863891,639279,0.11%,0.21%,74.00%,"-$725,322"
Gorilla Airlines,"$1,211",1542238,832809,0.37%,0.56%,54.00%,"$1,373,205"
Gornyaltajski Airlines,$685,1793813,627835,0.73%,1.07%,35.00%,"$4,332,055"
Gospel Green Airlines,$584,1848934,425255,0.61%,0.83%,23.00%,"$4,556,697"
Gouda Airlines,"$1,515",1569445,423750,0.23%,0.33%,27.00%,"$3,350,138"
Goutu Airlines,"$1,229",1855445,0,0.37%,0.45%,0.00%,"$8,423,720"
Gowrie Airlines,"$1,014",1273470,89143,0.54%,0.79%,7.00%,"$6,234,654"
Grabetto Airlines,"$1,630",1312925,695850,0.34%,0.52%,53.00%,"$1,392,884"
Graddost Airlines,"$1,235",829340,671765,0.18%,0.29%,81.00%,"-$595,382"
Grafton Village Cheddar Airlines,$649,1324577,92720,0.58%,1.05%,7.00%,"$4,387,796"
Grana Airlines,$412,294868,168075,1.29%,1.59%,57.00%,"$458,548"
Grana Padano Airlines,"$1,960",301132,186702,0.16%,0.26%,62.00%,"$28,667"
Grand Vatel Airlines,"$1,749",775504,217141,0.26%,0.42%,28.00%,"$1,958,304"
Grapefruit Airlines,"$1,880",696777,376260,0.13%,0.25%,54.00%,"-$97,690"
Grapevine Airlines,$254,1880460,94023,1.73%,2.40%,5.00%,"$7,682,619"
Grasshopper Airlines,$606,1112959,823590,0.55%,0.97%,74.00%,"-$1,131,214"
Grataron D' Areches Airlines,$517,508986,183235,0.66%,0.86%,36.00%,"$916,582"
Gratte-Paille Airlines,$535,1117289,480434,0.75%,1.19%,43.00%,"$1,456,723"
Graviera Airlines,"$1,525",1991547,637295,0.21%,0.36%,32.00%,"$2,955,456"
Gray Alder Airlines,"$1,158",824103,568631,0.20%,0.43%,69.00%,"-$973,018"
Gray Birch Airlines,$906,628155,458553,0.41%,0.68%,73.00%,"-$474,193"
Great Dane Airlines,"$1,121",398741,43862,0.30%,0.58%,11.00%,"$1,032,975"
Great Pyrenees Airlines,"$1,410",1406302,520332,0.38%,0.58%,37.00%,"$3,202,288"
Great Ragweed Airlines,"$1,450",1847163,1385372,0.29%,0.50%,75.00%,"-$2,415,164"
Great White Shark Airlines,$786,134578,74018,0.25%,0.59%,55.00%,"-$80,545"
Greater Plantain Airlines,$472,1430213,500575,0.91%,1.43%,35.00%,"$2,776,040"
Greater Swiss Mountain Dog Airlines,"$1,721",1032546,722782,0.23%,0.39%,70.00%,"-$812,612"
Green Anole Airlines,$809,184705,131141,0.39%,0.78%,71.00%,"-$254,619"
Green Ash Airlines,"$1,009",956810,516677,0.48%,0.64%,54.00%,"$1,284,424"
Green Bee-Eater Airlines,$218,1952534,253829,1.37%,2.50%,13.00%,"$4,432,645"
Green Headed Coneflower Airlines,$825,1020533,204107,0.26%,0.45%,20.00%,"$1,422,622"
Green Thistle Airlines,"$1,676",945719,690375,0.28%,0.46%,73.00%,"-$919,051"
Greenland Dog Airlines,"$1,822",221854,0,0.26%,0.33%,0.00%,"$1,067,118"
Greuilh Airlines,"$1,516",948809,683142,0.16%,0.28%,72.00%,"-$595,091"
Greve Airlines,"$1,649",379788,231671,0.27%,0.40%,61.00%,"$163,990"
Grey Mouse Lemur Airlines,$802,638549,383129,0.45%,0.65%,60.00%,"$307,783"
Grey Reef Shark Airlines,"$1,591",1354895,1138112,0.12%,0.19%,84.00%,"-$867,133"
Grey Seal Airlines,"$1,336",1379429,593154,0.21%,0.40%,43.00%,"$677,164"
Greyhound Airlines,$357,823082,189309,1.28%,1.89%,23.00%,"$2,495,666"
Gris De Lille Airlines,"$1,833",1297918,882584,0.11%,0.19%,68.00%,"-$527,473"
Grizzly Bear Airlines,"$1,609",403530,314753,0.30%,0.39%,78.00%,"$18,646"
Ground Berry Airlines,$495,1897388,0,0.32%,0.79%,0.00%,"$2,978,899"
Grouse Airlines,"$1,990",1126802,416917,0.09%,0.25%,37.00%,"-$144,007"
Grumium Airlines,$561,664219,478238,0.82%,1.25%,72.00%,"-$297,041"
Gruyere Airlines,$893,429703,103129,0.50%,0.65%,24.00%,"$1,303,374"
Gubbeen Airlines,$771,85313,22181,0.28%,0.70%,26.00%,"$64,311"
Gudja Airlines,"$1,645",1251325,475504,0.15%,0.29%,38.00%,"$904,205"
Guerbigny Airlines,$715,451782,343354,0.46%,0.89%,76.00%,"-$707,669"
Guinea Fowl Airlines,"$1,265",845707,532795,0.14%,0.40%,63.00%,"-$1,162,084"
Guinea Pig Airlines,$798,176474,127061,0.57%,0.72%,72.00%,"$77,438"
Gumala Airlines,$203,1661916,897435,1.58%,2.84%,54.00%,"$156,550"
Guniibuu Airlines,"$1,037",1711502,410760,0.21%,0.47%,24.00%,"$1,697,128"
Guppy Airlines,$670,1104629,165694,0.24%,0.43%,15.00%,"$1,263,144"
Gutweed Airlines,$907,425259,238145,0.45%,0.74%,56.00%,"$147,480"
Hadar Airlines,"$1,892",299336,77827,0.20%,0.36%,26.00%,"$583,408"
Haedus Airlines,"$1,755",1823643,547093,0.26%,0.33%,30.00%,"$5,058,785"
Hagfish Airlines,"$1,108",1553093,217433,0.19%,0.31%,14.00%,"$2,604,226"
Hairy Bittercress Airlines,$493,1043062,406794,0.82%,1.05%,39.00%,"$2,125,344"
Haldi Airlines,"$1,636",944422,292771,0.27%,0.38%,31.00%,"$2,365,020"
Halloumi Airlines,$502,1417645,467823,0.71%,1.21%,33.00%,"$2,202,311"
Hamal Airlines,$564,435843,252789,0.49%,0.91%,58.00%,"-$86,995"
Hammerhead Shark Airlines,$459,1969358,1260389,0.53%,0.78%,64.00%,"$266,258"
Hamster Airlines,$555,596029,458942,0.60%,0.91%,77.00%,"-$328,291"
Harbourne Blue Airlines,"$1,888",1875622,1181642,0.20%,0.28%,63.00%,"$766,003"
Hard Thistle Airlines,$960,1893637,1060437,0.31%,0.46%,56.00%,"$977,115"
Hare Airlines,$887,1550779,868436,0.33%,0.65%,56.00%,"-$493,146"
Hares Colwort Airlines,"$1,062",66628,1999,0.26%,0.50%,3.00%,"$175,337"
Hares Thistle Airlines,"$1,666",1688891,1030224,0.26%,0.41%,61.00%,"$297,917"
Harlequin Airlines,$854,1932952,1546362,0.33%,0.47%,80.00%,"-$850,501"
Harpy Eagle Airlines,"$1,960",1159146,255012,0.14%,0.29%,22.00%,"$1,741,965"
Harrier Airlines,$299,1064587,606815,0.57%,1.50%,57.00%,"-$919,379"
Hassaleh Airlines,"$1,314",1943320,213765,0.23%,0.38%,11.00%,"$4,683,402"
Hatysa Airlines,$677,606439,12129,0.78%,1.21%,2.00%,"$3,114,790"
Havanese Airlines,"$1,383",689465,365416,0.39%,0.55%,53.00%,"$894,033"
Havarti Airlines,$314,534291,390032,1.59%,2.60%,73.00%,"-$525,792"
Hawaiian Crow Airlines,"$1,699",216974,167070,0.21%,0.30%,77.00%,"-$97,335"
Hay Fever Weed Airlines,$839,1752338,543225,0.62%,0.99%,31.00%,"$4,620,913"
Healing Blade Airlines,$409,1358926,516392,1.31%,1.69%,38.00%,"$3,720,739"
Hedge Plant Airlines,"$1,880",1505808,542091,0.15%,0.25%,36.00%,"$1,698,551"
Hedgehog Airlines,"$1,980",1068549,502218,0.14%,0.26%,47.00%,"$287,333"
Heermanni Airlines,"$1,692",522018,73083,0.23%,0.41%,14.00%,"$1,533,999"
Heidi Gruyere Airlines,$456,1537206,276697,0.79%,1.10%,18.00%,"$4,114,179"
Hellebore Airlines,$587,1389188,250054,0.92%,1.36%,18.00%,"$5,475,900"
Helvetios Airlines,$876,341441,81946,0.44%,0.81%,24.00%,"$732,595"
Hemp Airlines,"$1,667",523266,251168,0.27%,0.38%,48.00%,"$726,291"
Hemp Dogbane Airlines,"$1,352",434849,52182,0.35%,0.44%,12.00%,"$1,750,701"
Hen Plant Airlines,"$1,394",40213,3619,0.21%,0.35%,9.00%,"$99,942"
Henbit Deadnettle Airlines,$566,948728,683084,0.95%,1.18%,72.00%,"$547,986"
Herb Barbara Airlines,"$1,577",1688752,489738,0.32%,0.50%,29.00%,"$4,646,771"
Hercules Beetle Airlines,"$1,148",1522701,837486,0.16%,0.38%,55.00%,"-$849,669"
Hereford Hop Airlines,"$1,623",1592206,1114544,0.31%,0.40%,70.00%,"$767,445"
Hermit Crab Airlines,"$1,651",1114068,445627,0.31%,0.45%,40.00%,"$2,399,704"
Heron Airlines,"$1,401",1952873,878793,0.15%,0.37%,45.00%,"-$412,057"
Herrgardsost Airlines,"$1,689",1250782,162602,0.31%,0.46%,13.00%,"$5,312,944"
Herring Airlines,"$1,118",1654714,1356865,0.37%,0.64%,82.00%,"-$2,858,680"
Herriot Farmhouse Airlines,"$1,321",1016649,620156,0.25%,0.48%,61.00%,"-$637,846"
Herve Airlines,"$1,781",414316,132581,0.29%,0.35%,32.00%,"$1,284,546"
Heze Airlines,"$1,003",918958,294067,0.28%,0.42%,32.00%,"$1,368,878"
Highland Cattle Airlines,$292,393033,7861,1.27%,1.66%,2.00%,"$1,416,175"
Himalayan Airlines,"$1,018",1098892,10989,0.29%,0.40%,1.00%,"$3,186,127"
Hipi Iti Airlines,$931,1573075,597769,0.25%,0.57%,38.00%,"$469,403"
Hippopotamus Airlines,$771,1526767,1068737,0.35%,0.48%,70.00%,"$111,454"
Hispid Swamp Blackberry Airlines,"$1,062",1150158,230032,0.43%,0.56%,20.00%,"$3,917,436"
Hoary Ragwort Airlines,$316,1849305,1405472,1.70%,2.37%,76.00%,"-$563,670"
Hoggar Airlines,"$1,553",1167975,887661,0.25%,0.36%,76.00%,"-$483,542"
Hogweed Airlines,"$1,425",47568,30444,0.32%,0.51%,64.00%,"-$8,014"
Holly Airlines,$283,322545,261261,0.67%,1.71%,81.00%,"-$648,442"
Homam Airlines,$962,1362394,0,0.42%,0.63%,0.00%,"$5,490,448"
Honey Badger Airlines,"$1,393",819597,0,0.20%,0.31%,0.00%,"$2,253,892"
Honey Bee Airlines,$234,336655,198626,1.65%,2.84%,59.00%,"-$21,375"
Honey Mesquite Airlines,$567,1355785,1043954,0.63%,0.92%,77.00%,"-$574,851"
Hoopoe Airlines,"$1,279",100709,12085,0.29%,0.37%,12.00%,"$311,795"
Horn Shark Airlines,$766,1125887,596720,0.54%,0.70%,53.00%,"$1,416,366"
Horna Airlines,"$1,054",813155,219552,0.46%,0.61%,27.00%,"$2,563,958"
Hornbill Airlines,"$1,634",281768,163425,0.13%,0.24%,58.00%,"-$28,288"
Horned Frog Airlines,"$1,404",843074,252922,0.11%,0.19%,30.00%,"$674,460"
Horse Airlines,"$1,459",1560164,873692,0.16%,0.32%,56.00%,"-$503,622"
Horse Cane Airlines,"$1,365",247873,86756,0.35%,0.46%,35.00%,"$639,138"
Horse Nettle Airlines,"$1,380",752931,52705,0.27%,0.39%,7.00%,"$2,487,233"
Horseshoe Crab Airlines,"$1,058",1284557,783580,0.15%,0.25%,61.00%,"-$49,071"
Horsetail Milkweed Airlines,$379,333311,246650,1.45%,2.15%,74.00%,"-$173,654"
Hounds Berry Airlines,$516,301500,205020,0.51%,0.74%,68.00%,"$8,683"
Houseleek Airlines,"$1,592",754606,543316,0.18%,0.38%,72.00%,"-$1,071,539"
Howler Monkey Airlines,"$1,300",946543,501668,0.33%,0.45%,53.00%,"$1,150,995"
Hubbardston Blue Cow Airlines,"$1,541",87075,5225,0.13%,0.34%,6.00%,"$145,134"
Huckleberry Airlines,$950,949608,218410,0.48%,0.74%,23.00%,"$2,799,158"
Human Airlines,$209,1731803,1368124,1.00%,2.01%,79.00%,"-$2,123,016"
Humboldt Fog Airlines,"$1,482",1639627,426303,0.34%,0.43%,26.00%,"$5,528,167"
Humboldt Penguin Airlines,$647,820773,188778,0.81%,1.05%,23.00%,"$3,038,008"
Hummingbird Airlines,"$1,807",356542,199664,0.24%,0.37%,56.00%,"$229,182"
Humpback Whale Airlines,"$1,456",385186,204149,0.11%,0.20%,53.00%,"$53,501"
Hunahpu Airlines,"$1,546",1676288,1324268,0.17%,0.35%,79.00%,"-$2,625,070"
Hunor Airlines,"$1,412",551684,159988,0.23%,0.32%,29.00%,"$1,083,178"
Hushallsost Airlines,$750,1849797,1442842,0.21%,0.61%,78.00%,"-$3,658,900"
Hyena Airlines,"$1,381",108015,4321,0.30%,0.38%,4.00%,"$428,817"
Iberico Airlines,$307,149394,97106,1.23%,2.11%,65.00%,"-$64,538"
Ibis Airlines,$527,615659,166228,0.48%,0.83%,27.00%,"$839,020"
Ibizan Hound Airlines,$860,1610248,128820,0.40%,0.52%,8.00%,"$4,896,441"
Idaho Goatster Airlines,"$1,323",1365928,382460,0.33%,0.45%,28.00%,"$3,701,118"
Idahoensis Airlines,$985,1890323,226839,0.22%,0.36%,12.00%,"$3,311,089"
Idiazabal Airlines,"$1,861",696364,431746,0.18%,0.26%,62.00%,"$217,264"
Iguana Airlines,"$1,234",69991,31496,0.19%,0.35%,45.00%,"$29,991"
Iklil Airlines,"$1,977",365071,113172,0.09%,0.18%,31.00%,"$289,976"
Il Boschetto Al Tartufo Airlines,$702,595756,119151,0.56%,0.98%,20.00%,"$1,514,413"
Ile D'Yeu Airlines,"$1,223",1202380,661309,0.22%,0.37%,55.00%,"$217,030"
Illyrian Airlines,$328,1161656,464662,0.63%,1.52%,40.00%,"$78,995"
Imai Airlines,"$1,253",790311,0,0.15%,0.28%,0.00%,"$1,438,366"
Immortal Jellyfish Airlines,$624,1832223,146578,0.72%,1.14%,8.00%,"$7,201,368"
Impala Airlines,$601,616135,252615,0.42%,0.75%,41.00%,"$420,637"
Indian Arrow Wood Airlines,"$1,907",477043,38163,0.26%,0.42%,8.00%,"$2,019,231"
Indian Elephant Airlines,$426,316938,244042,1.02%,1.76%,77.00%,"-$457,245"
Indian Hemp Airlines,$914,1408678,1169203,0.51%,0.82%,83.00%,"-$2,164,717"
Indian Paintbrush Airlines,"$1,320",1392426,320258,0.25%,0.43%,23.00%,"$2,702,003"
Indian Palm Squirrel Airlines,$225,331595,235432,2.28%,2.80%,71.00%,"$215,506"
Indian Poke Airlines,$787,279495,8385,0.68%,1.06%,3.00%,"$1,422,321"
Indian Posy Airlines,$997,775379,317905,0.32%,0.59%,41.00%,"$565,021"
Indian Rhinoceros Airlines,"$1,432",1414878,537654,0.19%,0.41%,38.00%,"$718,756"
Indian Star Tortoise Airlines,$966,1375762,123819,0.42%,0.65%,9.00%,"$4,861,803"
Indochinese Tiger Airlines,"$1,080",840790,92487,0.29%,0.48%,11.00%,"$2,151,665"
Indri Airlines,$611,1845051,756471,0.74%,0.90%,41.00%,"$4,145,460"
Ingens Airlines,"$1,809",704616,486185,0.23%,0.39%,69.00%,"-$398,953"
Inkberry Airlines,"$1,332",27974,5595,0.22%,0.42%,20.00%,"$51,807"
Inkberry Holly Airlines,$380,114872,43651,0.82%,1.25%,38.00%,"$148,761"
Inquill Airlines,$964,1601725,1089173,0.39%,0.71%,68.00%,"-$1,426,817"
Insects Airlines,$584,545242,359860,0.60%,0.90%,66.00%,"$17,228"
Intan Airlines,"$1,018",1246288,1046882,0.54%,0.81%,84.00%,"-$1,852,982"
Intercrus Airlines,"$1,939",604134,271860,0.29%,0.44%,45.00%,"$1,036,697"
Irena Airlines,$433,661379,39683,0.36%,0.73%,6.00%,"$893,125"
Irish Setter Complete Pet Guide Airlines,"$1,625",1040691,52035,0.13%,0.29%,5.00%,"$1,961,700"
Irish WolfHound Airlines,"$1,809",1988170,1013967,0.27%,0.39%,51.00%,"$2,533,921"
Island Oak Airlines,"$1,211",1935154,445085,0.39%,0.50%,23.00%,"$6,542,371"
Isle Of Man Cabbage Airlines,"$1,568",1019520,285466,0.32%,0.47%,28.00%,"$2,948,857"
Isle Of Mull Airlines,"$1,383",1432787,802361,0.33%,0.54%,56.00%,"$514,655"
Italian Greyhound Airlines,$663,240338,187464,0.42%,0.66%,78.00%,"-$159,105"
Itch Weed Airlines,"$1,584",201303,161042,0.12%,0.30%,80.00%,"-$384,084"
Itonda Airlines,$273,1813639,1305820,1.26%,2.20%,72.00%,"-$1,609,060"
Ivy Airlines,"$1,308",1238104,309526,0.36%,0.44%,25.00%,"$4,095,029"
Izar Airlines,$423,344032,189218,1.28%,2.00%,55.00%,"$260,085"
Jabbah Airlines,$833,1002977,40119,0.67%,0.89%,4.00%,"$5,258,007"
Jack By The Hedge Airlines,"$1,405",573854,263973,0.36%,0.43%,46.00%,"$1,286,350"
Jack In The Bush Airlines,$951,292693,175616,0.48%,0.77%,60.00%,"$53,269"
Jack Russel Airlines,"$1,921",309700,192014,0.29%,0.35%,62.00%,"$395,301"
Jackal Airlines,$262,1274421,458792,1.54%,2.01%,36.00%,"$2,730,827"
Jaguar Airlines,$447,1047133,209427,0.54%,0.95%,20.00%,"$1,652,374"
Japanese Chin Airlines,"$1,520",1749884,927439,0.18%,0.37%,53.00%,"-$373,253"
Japanese Flowering Dogwood Airlines,"$1,990",506484,410252,0.19%,0.35%,81.00%,"-$894,045"
Japanese Macaque Airlines,$464,1145674,767602,1.12%,1.47%,67.00%,"$711,002"
Jarlsberg Airlines,"$1,728",1219885,134187,0.19%,0.38%,11.00%,"$3,146,696"
Javan Rhinoceros Airlines,$693,204693,59361,0.49%,0.69%,29.00%,"$404,883"
Javanese Airlines,"$1,912",274289,145373,0.13%,0.20%,53.00%,"$98,608"
Jellyfish Airlines,$281,841682,353506,1.38%,1.80%,42.00%,"$1,468,569"
Jerboa Airlines,"$1,413",718271,129289,0.18%,0.30%,18.00%,"$1,322,623"
Jermi Tortes Airlines,"$1,146",777054,505085,0.45%,0.65%,65.00%,"$236,225"
Jibneh Arabieh Airlines,"$1,619",1958845,198354,0.32%,0.50%,10.13%,"$8,632,141"
Jindi Brie Airlines,"$1,254",974613,789437,0.28%,0.53%,81.00%,"-$1,860,442"
Jishui Airlines,$871,1623517,892934,0.29%,0.58%,55.00%,"-$434,289"
Jubilee Blue Airlines,$299,1106517,863083,0.62%,1.07%,78.00%,"-$703,744"
Judas Tree Airlines,"$1,794",1436650,244231,0.08%,0.22%,17.00%,"$1,202,187"
